Title,Author,Price,Language,Publish Year,Publisher,Weight,Description,Image URL,Detail URL
Đầu Tư Cổ Phiếu - Đầu Tư Cho Tương Lai Đầu Tư Vào Cổ Phiếu Là Đầu Tư Vào Thời Gian,Oscar Wilde,"180,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/dau_tu_co_phieu__dau_tu_cho_tuong_lai_-_bia_1_b9b1f39c523a45b582b0030ac8e6a749_master.jpg,https://www.vinabook.com/products/dau-tu-co-phieu-dau-tu-cho-tuong-lai-dau-tu-vao-co-phieu-la-dau-tu-vao-thoi-gian
Naked Money - Sự Thật Trần Trụi Về Tiền,Oscar Wilde,"215,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/121_b708c641724d4b458308aeaa1309c87e_master.jpg,https://www.vinabook.com/products/naked-money-su-tha-t-tra-n-tru-i-ve-tie-n
Cách Sống,Oscar Wilde,"79,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/cach_song_-_bia_1_tai_ban_2024_dbd6b9c420bd4507b7016a2ef5ec6e52_master.jpg,https://www.vinabook.com/products/cach-song
Nghiên Cứu Trong Marketing,Oscar Wilde,"112,000₫",Tiếng Việt,2023,Văn Học,460,"Nghiên Cứu Trong Marketing“Nghiên cứu trong marketing” của tác giả Bonita M. Kolb là một tài liệu giáo khoa ngắn gọn, cung cấp cho sinh viên và người nghiên cứu một cái nhìn tổng quan toàn diện về các nguyên tắc cơ bản trong nghiên cứu marketing. Sách được cấu trúc chặt chẽ, giúp người đọc nắm bắt toàn bộ quy trình nghiên cứu từ việc phát triển giả thuyết, đặt câu hỏi nghiên cứu, đến phát triển và thực hiện các nghiên cứu, phân tích dữ liệu và đưa ra các khuyến nghị chiến lược.Mỗi chương bắt đầu bằng phần tóm tắt ý chính và kết thúc bằng các câu hỏi thảo luận hữu ích cho giảng dạy. Cuốn sách tập trung vào các khía cạnh cốt lõi, bao gồm các phương pháp định lượng, định tính, và cách sử dụng mạng xã hội để tiến hành nghiên cứu người tiêu dùng, giúp độc giả hiểu rõ hơn về cách tiếp cận, hành vi và lối sống của khách hàng mục tiêu.Tác giả Bonita M. Kolb, Giáo sư danh dự Quản trị Kinh doanh tại Đại học Lycoming, đã biên soạn cuốn sách với mục tiêu cung cấp tài liệu bổ ích cho sinh viên và các nhà nghiên cứu trong lĩnh vực marketing, đặc biệt phù hợp cho các khóa học ở cả cấp độ đại học và sau đại học​.",https://product.hstatic.net/200000845405/product/untitled-2_24_4b7153a2608e4a1e8a29d118e919f46b_master.jpg,https://www.vinabook.com/products/nghien-cuu-trong-marketing
Marketing Trong Kỷ Nguyên Số,Oscar Wilde,"96,000₫",Tiếng Việt,2023,Văn Học,460,"Marketing Trong Kỷ Nguyên SốCuốn sách “Marketing trong kỷ nguyên số” của tác giả Alan Charlesworth là một tài liệu giáo khoa ngắn gọn, cung cấp một cái nhìn tổng quan toàn diện nhưng súc tích về các nguyên tắc cơ bản của marketing số. Tác giả, một chuyên gia trong lĩnh vực này, đã chia cuốn sách thành chín chương, trình bày về các khía cạnh quan trọng như tối ưu hóa công cụ tìm kiếm (SEO), đo lường và phân tích dữ liệu, phát triển website, thương mại điện tử, mạng xã hội, và chiến lược marketing số.Cuốn sách đặc biệt nhấn mạnh vào sự kết hợp giữa các yếu tố của marketing truyền thống và số hóa, giúp người đọc hiểu rõ cách áp dụng các chiến lược số trong môi trường kinh doanh hiện đại. Ngoài ra, cuốn sách còn cung cấp các công cụ hỗ trợ giảng dạy, học tập trực tuyến, bài tập nghiên cứu và câu hỏi thảo luận cho cả sinh viên và giảng viên trong lĩnh vực marketing.Alan Charlesworth, người đã có hơn 25 năm kinh nghiệm trong ngành marketing số, đã sử dụng kiến thức và kinh nghiệm của mình để viết ra một cuốn sách hữu ích cho cả những người mới bắt đầu và các chuyên gia marketing đang tìm kiếm các phương pháp cải thiện chiến lược của mình trong thời đại kỹ thuật số.",https://product.hstatic.net/200000845405/product/untitled-1_4_71044f9c7ead45d6826fba8fdc5a0776_master.jpg,https://www.vinabook.com/products/marketing-trong-ky-nguyen-so
Nguyên Lý Kinh Doanh Bền Vững - Quảng Cáo Và Hiệu Ứng Xã Hội,Oscar Wilde,"80,000₫",Tiếng Việt,2023,Văn Học,460,"Quảng Cáo Và Hiệu Ứng Xã Hội“Quảng cáo và Hiệu ứng Xã hội” của tác giả Sarah Turnbull là một tài liệu nghiên cứu tổng quan về lĩnh vực quảng cáo, đặc biệt nhấn mạnh vai trò và tác động của quảng cáo trong xã hội hiện đại. Sách cung cấp một cái nhìn sâu rộng về các khía cạnh cốt lõi của quảng cáo, bao gồm lập kế hoạch và chiến lược, lý thuyết quảng cáo, các phương thức quảng cáo khác nhau, quy trình sáng tạo, quảng cáo quốc tế, và các phương pháp đo lường hiệu quả quảng cáo.Tác giả Sarah Turnbull, một chuyên gia trong lĩnh vực quảng cáo, đưa ra các ví dụ cập nhật về những thách thức trong môi trường truyền thông hiện đại và nhấn mạnh mối liên hệ giữa quảng cáo và văn hóa xã hội. Sách cũng khám phá tác động lâu dài của quảng cáo trong việc thay đổi hành vi người tiêu dùng và ảnh hưởng đến các giá trị xã hội, từ quảng cáo thương hiệu cho đến các chiến dịch quảng cáo có mục đích cao cả như quảng cáo vì môi trường hay bình đẳng giới.Ngoài ra, cuốn sách này còn phân tích cách quảng cáo có thể tác động tích cực đến nền kinh tế và văn hóa, qua đó làm nổi bật vai trò không thể thiếu của quảng cáo trong cả hoạt động kinh doanh và sự phát triển của xã hội.​",https://product.hstatic.net/200000845405/product/untitled-4_33a744d354124b499ea104b68f639cb3_master.jpg,https://www.vinabook.com/products/nguyen-ly-kinh-doanh-ben-vung-quang-cao-va-hieu-ung-xa-hoi
Luân Lý Học Hành Vi Trong Kinh Doanh,Oscar Wilde,"88,000₫",Tiếng Việt,2023,Văn Học,460,"Luân Lý Học Hành Vi Trong Kinh Doanh“Luân lý học hành vi trong kinh doanh” của tác giả Nina Seppala là một hướng dẫn ngắn gọn và dễ tiếp cận về các khía cạnh luân lý trong hành vi của doanh nghiệp và các tổ chức. Tác phẩm nhấn mạnh cách con người đưa ra các quyết định luân lý trong môi trường công sở và các yếu tố tâm lý, xã hội tác động đến hành vi này.Sách giải thích những hiện tượng thường gặp như tại sao những nhân viên hoặc nhà quản lý được cho là có trách nhiệm đôi khi lại hành xử thiếu luân lý. Thông qua các thí nghiệm và ví dụ thực tế, cuốn sách cung cấp cái nhìn sâu sắc về việc làm thế nào để khuyến khích hành vi có đạo đức hơn trong kinh doanh.Tác phẩm này rất phù hợp cho các khóa học về luân lý kinh doanh, trách nhiệm xã hội của doanh nghiệp, cũng như các khóa học về hành vi tổ chức và tâm lý học. Mỗi chương đều được thiết kế dưới dạng các câu chuyện có tính thí nghiệm, kèm theo kết quả nghiên cứu và câu hỏi thảo luận giúp người đọc hiểu sâu hơn về chủ đề. Sách còn cung cấp tài liệu hữu ích cho giảng viên và học viên quan tâm đến nghiên cứu về luân lý trong doanh nghiệp.Nina Seppala, tác giả cuốn sách, là Phó Giám đốc tại Trường Quản lý thuộc Đại học London (UCL), nơi bà giảng dạy về luân lý của trí tuệ nhân tạo và đã xuất bản nhiều nghiên cứu về luân lý kinh doanh​.",https://product.hstatic.net/200000845405/product/untitled-3_1_5c58a6b4817548e39d9181437fa0296b_master.jpg,https://www.vinabook.com/products/luan-ly-hoc-hanh-vi-trong-kinh-doanh
Alibaba - Sự Tương Tác Phức Tạp Giữa Nhà Nước Và Vốn Tư Bản Trong Bối Cảnh Trung Quốc Vươn Ra Toàn Cầu,Oscar Wilde,"80,000₫",Tiếng Việt,2023,Văn Học,460,"Alibaba - Sự Tương Tác Phức Tạp Giữa Nhà Nước Và Vốn Tư Bản Trong Bối Cảnh Trung Quốc Vươn Ra Toàn CầuCuốn sách ALIBABA – Sự tương tác phức tạp giữa nhà nước và vốn tư bản trong bối cảnh Trung Quốc vươn ra toàn cầu cung cấp cái nhìn sâu sắc vào câu chuyện phát triển của Alibaba, một trong những công ty thương mại điện tử và công nghệ hàng đầu Trung Quốc, qua đó phản ánh sự tương tác giữa nhà nước và vốn tư bản trong quá trình hội nhập toàn cầu của nền kinh tế Trung Quốc.Bắt đầu từ đợt IPO lớn nhất thế giới vào năm 2014 tại Sở Giao dịch Chứng khoán New York, cuốn sách tái hiện sự trỗi dậy mạnh mẽ của Alibaba và vai trò của nó trong việc định hình lại nền kinh tế Internet toàn cầu. Sự kiện IPO của Ant Group, công ty liên kết của Alibaba, dù bị dừng lại phút chót do sự can thiệp của cơ quan quản lý Trung Quốc, càng làm nổi bật mối quan hệ phức tạp giữa nhà nước và doanh nghiệp tư nhân trong bối cảnh kinh tế Trung Quốc đang biến đổi.Cuốn sách không chỉ đề cập đến Alibaba như một trường hợp doanh nghiệp thành công mà còn khám phá sâu hơn về sự tương tác giữa nhà nước Trung Quốc và vốn tư bản trong quá trình Alibaba vươn ra toàn cầu. Nó phân tích cách mà Alibaba không chỉ đơn thuần là một công ty thương mại điện tử mà còn trở thành một phần của cơ sở hạ tầng cho sự phát triển và mở rộng toàn cầu của Trung Quốc, mở rộng sang nhiều lĩnh vực từ logistics, tài chính, điện toán đám mây đến truyền thông và giải trí.Cuốn sách cũng nêu bật mô hình đặc biệt của mối quan hệ giữa nhà nước và vốn tư bản thông qua hành trình của Alibaba, thể hiện sự phức tạp của quá trình này với cả xung đột và hợp tác giữa hai thực thể. Qua đó, nó cung cấp cái nhìn mới về sự chuyển đổi kinh tế chính trị của Trung Quốc và sự phát triển của Internet toàn cầu, qua lăng kính câu chuyện của Alibaba.Ngoài ra, sách còn đưa ra cái nhìn sâu sắc về nền kinh tế chính trị của Internet, khám phá sức mạnh cấu trúc cũng như quá trình trong hệ thống mạng từ cơ sở hạ tầng đến các dịch vụ và ứng dụng trực tuyến, và làm thế nào mà những người nắm giữ quyền lực tương tác và ảnh hưởng lẫn nhau trong hệ thống Internet quốc tế.ALIBABA – Sự tương tác phức tạp giữa nhà nước và vốn tư bản trong bối cảnh Trung Quốc vươn ra toàn cầu mở rộng khái niệm về Internet Trung Quốc, từ một “mạng nội bộ” bị kiểm soát bởi nhà nước đến một hệ thống tương tác toàn cầu, qua đó đóng góp vào việc hiểu sâu hơn về bản chất đa diện của nền kinh tế Internet hiện đại. Cuốn sách này không chỉ dành cho những ai quan tâm đến Alibaba hay kinh tế Trung Quốc mà còn cho bất kỳ ai muốn hiểu về sự phát triển của thị trường toàn cầu trong kỷ nguyên số.",https://product.hstatic.net/200000845405/product/alibaba_81ffa9461263438e98ae2c633b529a70_master.jpg,https://www.vinabook.com/products/alibaba-su-tuong-tac-phuc-tap-giua-nha-nuoc-va-von-tu-ban-trong-boi-canh-trung-quoc-vuon-ra-toan-cau
Baidu - Biến Động Địa Chính Trị Trên Internet Tại Trung Quốc,Oscar Wilde,"96,000₫",Tiếng Việt,2023,Văn Học,460,"Baidu - Biến Động Địa Chính Trị Trên Internet Tại Trung QuốcTrong bối cảnh địa chính trị toàn cầu ngày càng phức tạp, BAIDU – Biến động địa chính trị trên Internet tại Trung Quốc cung cấp cái nhìn sâu rộng về vai trò của Baidu – không chỉ là một gã khổng lồ công nghệ của Trung Quốc mà còn là một nhân tố chính trong cuộc cạnh tranh quyền lực giữa Trung Quốc và Hoa Kỳ trên mặt trận công nghệ.Cuốn sách mở đầu bằng việc đặt Baidu trong bối cảnh lịch sử và kinh tế chính trị, từ những ngày đầu khi chính quyền Trump của Hoa Kỳ cân nhắc việc đưa công ty này vào “danh sách thực thể” cho đến sự phát triển mạnh mẽ của công ty trong bối cảnh kinh tế toàn cầu. Tác giả khám phá ảnh hưởng của Baidu không chỉ đối với thị trường trong nước mà còn với nền kinh tế thế giới, nơi Baidu cùng với Alibaba và Tencent tạo thành một bộ ba công nghệ (BAT) có tầm ảnh hưởng to lớn.Cuốn sách cũng phân tích sự phức tạp của nền kinh tế chính trị, nơi sự phát triển của Baidu và các công ty công nghệ Trung Quốc khác không chỉ phản ánh sức mạnh kinh tế mà còn là biểu hiện của sức mạnh địa chính trị. Các chính sách của chính phủ Trung Quốc trong việc hỗ trợ và điều chỉnh ngành công nghệ của mình được đánh giá cao, bên cạnh đó là việc chính quyền này tìm cách giảm sự phụ thuộc vào công nghệ nước ngoài và thúc đẩy đổi mới công nghệ bản địa cốt lõi.Sách cung cấp một cái nhìn tổng quan về các chiến lược và hành động cụ thể của Baidu trong việc phát triển công nghệ AI, mở rộng quy mô kinh doanh và tham gia vào cuộc đua công nghệ toàn cầu. Đồng thời, tác giả cũng không né tránh việc bình luận về các vấn đề như quyền sở hữu và kiểm soát, các mối quan hệ chính trị phức tạp và các thách thức đối với Baidu trong bối cảnh quốc tế đầy biến động.Cuối cùng, BAIDU – Biến động địa chính trị trên Internet tại Trung Quốc là một bức tranh đầy đủ về sự lớn mạnh của Baidu trong mối liên hệ với nền kinh tế chính trị toàn cầu, làm sáng tỏ cả những cơ hội và thách thức mà gã khổng lồ công nghệ Trung Quốc này phải đối mặt. Cuốn sách không chỉ dành cho những người quan tâm đến ngành công nghệ mà còn cho bất kỳ ai muốn hiểu rõ hơn về các yếu tố địa chính trị ảnh hưởng đến thế giới công nghệ ngày nay.",https://product.hstatic.net/200000845405/product/baidu_1_707b48ea1e13439b8f7f952de243923a_master.jpg,https://www.vinabook.com/products/baidu-bien-dong-dia-chinh-tri-tren-internet-tai-trung-quoc
Tencent - Quyền Lực Của Giao Tiếp Và Kết Nối Trong Thúc Đẩy Nền Kinh Tế,Oscar Wilde,"120,000₫",Tiếng Việt,2023,Văn Học,460,"Tencent - Quyền Lực Của Giao Tiếp Và Kết Nối Trong Thúc Đẩy Nền Kinh TếCuốn sách TENCENT – Quyền lực của giao tiếp và kết nối trong thúc đẩy nền kinh tế cung cấp cái nhìn sâu sắc vào sự phát triển của một trong những công ty Internet hàng đầu Trung Quốc, Tencent, qua đó phản ánh sự kết hợp độc đáo giữa ngành công nghệ thông tin và truyền thông (CNTT-TT) và quá trình phát triển kinh tế chính trị toàn cầu. Được thành lập trong bối cảnh mở cửa và hội nhập kinh tế toàn cầu của Trung Quốc từ cuối thế kỷ 20, Tencent đã trở thành biểu tượng của sự chuyển đổi và tăng trưởng nhanh chóng, không chỉ ở Trung Quốc mà còn trên toàn thế giới.Sách phác họa lịch sử phát triển của Tencent từ một công ty khởi nghiệp nhỏ bé với sản phẩm chat QQ đầu tiên, trở thành một đế chế công nghệ với nhiều lĩnh vực kinh doanh bao gồm trò chơi điện tử, truyền thông xã hội, dịch vụ tài chính và nhiều hơn nữa. Đặc biệt, cuốn sách đi sâu vào việc phân tích cách thức Tencent không chỉ làm chủ thị trường trong nước mà còn mở rộng ảnh hưởng của mình ra toàn cầu thông qua các hoạt động mua bán và đầu tư chiến lược.Một trong những điểm nhấn quan trọng của sách là việc khám phá sâu rộng về kinh tế chính trị của ngành Internet Trung Quốc, nơi Tencent đóng vai trò trung tâm. Cuốn sách cung cấp cái nhìn đa chiều về cách thức các công ty công nghệ như Tencent tạo ra giá trị kinh tế thông qua việc khai thác và phân tích dữ liệu lớn, đồng thời nhấn mạnh vai trò của nhà nước Trung Quốc trong việc hình thành và hỗ trợ sự tăng trưởng của các công ty công nghệ này.Ngoài ra, cuốn sách cũng không ngần ngại chỉ trích một số hành động của Tencent và các công ty Internet khác trong việc tạo ra và tăng cường bất bình đẳng xã hội thông qua việc kiểm soát và sử dụng dữ liệu cá nhân. Đồng thời, sách cũng đề cập đến những lo ngại về sự tập trung quyền lực và độc quyền trong ngành CNTT-TT, cũng như các thách thức đối với sự đổi mới và cạnh tranh công bằng.Cuốn sách kết thúc bằng việc phản ánh về vai trò của Tencent trong nền kinh tế số toàn cầu và khả năng của công ty trong việc định hình tương lai của công nghệ thông tin và truyền thông. TENCENT – Quyền lực của giao tiếp và kết nối trong thúc đẩy nền kinh tế không chỉ là một tác phẩm phân tích kinh tế chính trị của ngành Internet mà còn là một cái nhìn toàn diện về cách thức công nghệ số đang thay đổi xã hội, kinh tế và văn hóa toàn cầu.",https://product.hstatic.net/200000845405/product/tencent_c2a44afd241043b38387a6e111431208_master.jpg,https://www.vinabook.com/products/tencent-quyen-luc-cua-giao-tiep-va-ket-noi-trong-thuc-day-nen-kinh-te
