Title,Author,Price,Language,Publish Year,Publisher,Weight,Description,Image URL,Detail URL
Quẳng Gánh Lo Đi Và Vui Sống: Những Phương Pháp Đã Được Thời Gian Chứng Thực Giúp Bạn Đánh Tan Sự Lo Âu,Oscar Wilde,"127,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/quang_ganh_lo_di_-_bia_1_97ca2e643da84eeaa12fd96ac1c70ea5_master.jpg,https://www.vinabook.com/products/quang-ganh-lo-di-va-vui-song-nhung-phuong-phap-da-duoc-thoi-gian-chung-thuc-giup-ban-danh-tan-su-lo-au
Tinh Hoa Kỹ Năng Đào Tạo Và Truyền Cảm Hứng,Oscar Wilde,"151,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/tinh_hoa_dao_tao_-_bia_1_3476bbc8c2ce4b1bb3ddbaa3cc27de3e_master.jpg,https://www.vinabook.com/products/tinh-hoa-ky-nang-dao-tao-va-truyen-cam-hung
Lịch Tường Thư Pháp Làng Mai 2025 - Chủ Đề: Ý Thức Em Mặt Trời Tỏ Rạng,Oscar Wilde,"233,100₫",Tiếng Việt,2023,Văn Học,460,null,https://theme.hstatic.net/200000845405/1001223012/14/no_image.jpg?v=354,https://www.vinabook.com/products/bo-lich-thu-phap-lang-mai-2025-chu-de-y-thuc-em-mat-troi-to-rang
Cẩm Nang Canva,Oscar Wilde,"260,100₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/cam_nang_canva_-_bia_1__1__516c4fcd1c76429ca533b68c3a772b34_master.jpg,https://www.vinabook.com/products/cam-nang-canva
"Không Sợ Thất Bại, Chỉ Sợ Bạn Nuông Chiều Bản Thân Chưa Nỗ Lực Hết Mình",Oscar Wilde,"107,100₫",Tiếng Việt,08/08/2024,Văn Học,460,null,https://product.hstatic.net/200000845405/product/202_3c6c8a6813a64d7cae98909917ac4364_master.png,https://www.vinabook.com/products/khong-so-that-bai-chi-so-ban-nuong-chieu-ban-than-chua-no-luc-het-minh
Giải Phòng Bản Thân Thay Đổi Cuộc Đời,Oscar Wilde,"47,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/8936055360597_b3c634c99035485b9cab045e62b24eef_master.jpg,https://www.vinabook.com/products/giai-phong-ban-than-thay-doi-cuoc-doi
Tư Duy Nhanh Và Chậm ( Bìa Cứng),"Daniel KahnemanNgười dịch: Xuân Thanh, Hương Lan","341,100₫",Tiếng ViệtĐịnh dạng: Bìa mềmKích thước: 24 x 16 cmNgày phát hành: 30/11/2020Số trang: 612,30/11/2020,Nxb Thế giới,450.00 gam,"Thinking fast and slow - Tư duy nhanh và chậm  - cuốn sách được Tạp chí Tài chính Mỹ đặc biệt đánh giá là “một kiệt tác” trong việc nói về tính hợp lý, phi lý của con người trong tư duy, trong việc đánh giá và ra quyết định.Trong cuộc sống, dù bạn có cẩn trọng đến mức nào thì vẫn có những lúc bạn đưa ra những quyết định dựa trên cảm tình chủ quan của mình. Thinking fast and slow, cuốn sách nổi tiếng tổng hợp tất cả nghiên cứu được tiến hành qua nhiều thập kỷ của nhà tâm lý học từng đạt giải Nobel Kinh tế Daniel Kahneman sẽ cho bạn thấy những sư hợp lý và phi lý trong tư duy bản thân. Cuốn sách được đánh giá là “kiệt tác” trong việc thay đổi hành vi của con người, Thinking fast and slow đã giành được vô số giải thưởng danh giá, lọt vào Top 11 cuốn sách kinh doanh hấp dẫn nhất năm 2011. Cuốn sách được Alpha Books mua bản quyền và xuất bản vào Quý I năm nay. Thinking fast and slow dù là cuốn sách có tính hàn lâm cao nhưng được truyền tải một cách vui nhộn và dễ hiểu, hứa hẹn sẽ mang lại cho bạn đọc nhiều kiến thức mới mẻ, bổ ích.Thinking fast and slow sẽ đưa ra và lý giải hai hệ thống tư duy tác động đến con đường nhận thức của bạn. Kahneman gọi đó là: hệ thống 1 và hệ thống 2. Hệ thống 1, còn gọi là cơ chế nghĩ nhanh, tự động, thường xuyên được sử dụng, cảm tính, rập khuôn và tiềm thức. Hệ thống 2, còn gọi là cơ chế nghĩ chậm, đòi hỏi ít nỗ lực, ít được sử dụng, dùng logic có tính toán và ý thức. Trong một loạt thí nghiệm tâm lý mang tính tiên phong, Kahneman và Tversky chứng minh rằng, con người chúng ta thường đi đến quyết định theo cơ chế nghĩ nhanh hơn là ghĩ chậm. Phần lớn nội dung của cuốn sách chỉ ra những sai lầm của con người khi suy nghĩ theo hệ thống 1. Kahneman chứng minh rằng chúng ta tệ hơn những gì chúng ta tưởng: đó là chúng ta không biết những gì chúng ta không biết!Thinking fast and slow đáp ứng hai tiêu chí của một cuốn sách hay, thứ nhất nó thách thức quan điểm của người đọc, thứ hai, nó không phải là những trang sách với những con chữ khô cứng mà vô cùng vui nhộn và hấp dẫn. Không nghi ngờ gì nữa, đây là cuốn sách hàn lâm dành cho tất cả mọi người!Về tác giả:Daniel Kahneman, sinh năm 1934, nhà tâm lý học người Mỹ  gốc Israel đã dành giải Nobel Kinh tế năm 2002. Ông dành cả cuộc đời của mình để nghiên cứu về tâm lý học hành vi con người. Cùng với người cộng sự đã qua đời Amos Tversky, hai ông đã có được những nghiên cứu sâu sắc về con đường tư duy và nhận thức của con người.",https://product.hstatic.net/200000845405/product/p93743mimage_230367_7f78a8ba205e48f48223841a5778917d_large_5d0ee4c6d6924a918864f4dd2a6a8c5b_master.jpg,https://www.vinabook.com/products/tu-duy-nhanh-va-cham-2024
Dạy Con Về Tiền Bạc,Oscar Wilde,"88,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/8935074132925_a0da0631fe7b494ca22237e4bd67d3a9_master.jpg,https://www.vinabook.com/products/day-con-ve-tien-bac
Dám Làm Giàu,Oscar Wilde,"124,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/2f6e5935716b4807a0301045f87e73b8tplv-o3syd03w52-origin-jpeg_d7de125356a248cf9766a2bf724f5e69_master.jpeg,https://www.vinabook.com/products/dam-lam-giau
You Can - Không Gì Là Không Thể,GEORGE MATTHEW ADAMSThương hiệu: SBOOKS,"106,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/75_29e100a9c2984438ab32f9d7dd813d66_master.jpeg,https://www.vinabook.com/products/you-can-khong-gi-la-khong-the
