Title,Author,Price,Language,Publish Year,Publisher,Weight,Description,Image URL,Detail URL
Phá Đạo Dị Giới Cùng Nữ Thần Không Tín Đồ - Tập 4 (Bản Thường),Oscar Wilde,"92,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/phadaodigioitap4-01_19bbabe9fec0452d90271c355eb81a5c_master.png,https://www.vinabook.com/products/pha-dao-di-gioi-cung-nu-than-khong-tin-do-tap-4-ban-thuong
Phá Đạo Dị Giới Cùng Nữ Thần Không Tín Đồ - Tập 4 (Bản Đặc Biệt),Oscar Wilde,"116,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/phadaodigioitap4-01_791a99047e0c4028abc9ee58f27cc403_master.png,https://www.vinabook.com/products/pha-dao-di-gioi-cung-nu-than-khong-tin-do-tap-4-ban-dac-biet
"Thơ Rubaiyat - Đến Như Nước Chảy, Đi Tựa Gió Phiêu",Oscar Wilde,"79,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/ga_460l9jmc2g_mtcyotq5mjg0os42mdcums4xnzi5ndk0mtc4ljuzljaumze5odm0ntq3_53e202e801c14b9883113e9d19d22db6_master.jpg,https://www.vinabook.com/products/tho-rubaiyat-den-nhu-nuoc-chay-di-tua-gio-phieu
Ngôn Sứ - Bí Mật Cuộc Sống Giữa Hai Bờ Sinh Tử,Oscar Wilde,"79,200₫",Tiếng Việt,2023,Văn Học,460,"Ngôn Sứ - Bí Mật Cuộc Sống Giữa Hai Bờ Sinh Tử“Ngôn Sứ” của Kahlil Gibran là một tác phẩm văn học đầy triết lý và tâm linh, được viết bởi một trong những tác giả có sức ảnh hưởng lớn nhất của thế kỷ 20. Kahlil Gibran, một triết gia, nhà văn, và họa sĩ gốc Liban, đã tạo nên tác phẩm này như một loạt các bài triết luận đậm chất thơ. “Ngôn Sứ” được xuất bản lần đầu tiên vào năm 1923 và nhanh chóng trở thành một cuốn sách bán chạy, được yêu mến trên toàn thế giới.Tác phẩm kể về nhân vật Almustafa, một ngôn sứ, người chia sẻ những hiểu biết sâu sắc về các khía cạnh khác nhau của cuộc sống như tình yêu, hôn nhân, con cái, công việc, niềm vui và nỗi buồn, và nhiều chủ đề khác. Mỗi bài luận là một thông điệp đầy cảm hứng và suy ngẫm, truyền tải qua ngôn ngữ mượt mà và hình ảnh phong phú.Gibran không chỉ viết về những vấn đề đời thường mà còn đưa ra những triết lý về sự tồn tại và mối quan hệ giữa con người với thiên nhiên và vũ trụ. “Ngôn Sứ” của Kahlil Gibran là một cuốn sách gối đầu giường, nơi mà mỗi khi mở ra, độc giả có thể tìm thấy lời khuyên và tâm tình cho mọi vấn đề trong cuộc sống. Tác phẩm này là một tác phẩm văn học và là một nguồn cảm hứng và suy ngẫm sâu sắc cho mọi người.",https://product.hstatic.net/200000845405/product/cvr---ngon-su_49727aae236a4162a327704b66b8208f_master.jpg,https://www.vinabook.com/products/ngon-su-bi-mat-cuoc-song-giua-hai-bo-sinh-tu
Nghệ Thuật Và Thợ Thủ Công (Tái Bản 2024),Oscar Wilde,"88,000₫",Tiếng Việt,2023,Văn Học,460,"Nghệ Thuật Và Thợ Thủ CôngWilde cho rằng, người có thẩm mỹ là người yêu các nghệ sĩ và hiểu nghệ thuật của họ. Người Athen thì không thỏa mãn cả hai yếu tố ấy. Đây là một sự thật là lùng mà Wilde đem đến cho người đọc, nhưng nó lại có lý.Đây chính là điểm đặc biệt của tập tiểu luận “Nghệ thuật và thợ thủ công”. Nó cung cấp cho người đọc những niềm tin đang hiện hữu trong công chúng, lật ngược lại các niềm tin đó, để người đọc nhận ra được bản chất của vấn đề.Khi nhận ra rồi, độc giả có thể đồng ý hoặc không đồng ý với ý kiến của người viết. Và vì thế, nó kích thích mỗi chúng ta đọc và tư duy, không chỉ trong nghệ thuật, mà còn trong cuộc đời.Book Hunter đã chọn lựa 4 tiểu luận và bài giảng của Oscar Wilde để dịch và nhóm lại thành tập sách lấy tựa đề “Nghệ thuật và thợ thủ công”. Cả 4 tiểu luận này đều là những suy tư của Oscar Wilde về sự kiến tạo tinh thần trong thời đại mà ông sống: Châu Âu thế kỷ 19 dưới thời đại trị vì của nữa hoàng Victoria.Oscar Wilde bàn về cách nghệ thuật cần phải hướng tới các giá trị thẩm mỹ ra sao, người nghệ sĩ cần giữ thái độ độc lập và chuẩn mực sáng tác như thế nào, chúng ta cần phải hướng tới tự do cá nhân như một lẽ sống không thể chối bỏ.Con đường kiến tạo của ông đi ngược lại xu hướng thế kỷ 19 ở Anh quốc nói riêng và châu Âu nói chung, khi mà cuộc Cách mạng công nghiệp lúc bấy giờ đã gây ra một thảm trạng về cảnh quan và môi trường sống. Ô nhiễm môi trường, những sản phẩm hàng loạt chất lượng kém, lối “trưởng giả học làm sang” của các trọc phú mới nổi, những công trình kiến trúc và nghệ thuật thô kệch, những sáng tác văn chương được viết vội vã và cố gắng hạ thấp độ tinh vi để phù hợp với đại đa số quần chúng đọc báo chí…***Oscar Wilde (1854 – 1900) là một nhà văn nổi tiếng của Ireland. Ông ra đời tại Dublin, Ireland, ngày 16 tháng 10 năm 1854 và mất tại Paris vì viêm não, ngày 30 tháng 11 năm 1900.Đọc các tiểu luận của Oscar Wilde ta sẽ thấy rằng ông không phải chỉ là một nhà văn đỏm dáng và hài hước, ông ở một tầm cỡ lớn hơn thế!Nếu George Orwell đã biến văn chương chính trị thành nghệ thuật thì Oscar Wilde là trường hợp hiếm hoi trong số các nhà văn duy mỹ đã chỉ rõ được vai trò chính trị của cái đẹp và nghệ thuật.Cái đẹp và nghệ thuật không phải chỉ là những đóa hoa tô điểm cho cuộc sống mà hơn cả thế, đó là môi trường để những tâm hồn cao thượng và tự do có thể tồn tại và phát triển.Hơn ai hết, Oscar Wilde rất ý thức và nỗ lực để kiến tạo một môi trường như vậy, và ông thuyết giảng không ít về thông điệp ấy với những người làm nghệ thuật.",https://product.hstatic.net/200000845405/product/cvr---nghe-thuat-va-tho-thu-cong_1_be64b65fce1c40b88a0558253e72043d_master.jpg,https://www.vinabook.com/products/nghe-thuat-va-tho-thu-cong-tai-ban-2024
Linh Tính Và Lý Trí,Oscar Wilde,"88,000₫",Tiếng Việt,2023,Văn Học,460,"Linh Tính Và Lý Trí - Các Tiểu Luận Phê BìnhEdgar Allan Poe (1809 – 1849) được biết tới ở Việt Nam như “ông tổ truyện kinh dị”, nhưng danh xưng này không thể hiện được sự vĩ đại của Poe. Trước khi Poe xuất hiện trên văn đàn Mỹ, nước Mỹ chưa từng có một tác giả lãng mạn nào đáng kể. Ông không chỉ là “ông tổ truyện kinh dị”, ông là cây bút hàng đầu thuộc trường phải Lãng Mạn U Ám (Dark Romanticism) của thế giới, và có ảnh hưởng lớn tới trường phái Tượng Trưng và Siêu Thực của văn học Pháp.Tuy nhiên, đó vẫn là phần nổi của tảng băng chìm trong thế giới quan của Poe. Poe, không chỉ bằng các sáng tác truyện ngắn và thơ ca của mình, mà còn bằng các bài xã luận và phê bình, liên tục lên án lối văn chương thực dụng tại Mỹ lúc bấy giờ, mà đề xướng chủ nghĩa thẩm mỹ thuần túy. Lý thuyết về sáng tạo văn chương của Poe có thể được tóm tắt ở hai điểm chính: thứ nhất, để có thể được coi là thành công, một tác phẩm phải có tác động nhất định đến người đọc; thứ hai, bản thân tác giả phải là người chủ động suy xét để tạo ra tác động này, chứ không để nó phụ thuộc vào cảm hứng hoặc ngẫu nhiên.Tập tiểu luận “Linh tính và Lý trí” là tập hợp các bài phê bình của Edgar Allan Poe phê phán lối văn chương và báo chí thực dụng tại Mỹ lúc bấy giờ. Các bài phê bình của Poe không chỉ có ý nghĩa với lịch sử văn học thế giới, mà còn là ngọn lửa soi rọi trong đêm tối tinh thần, làm lộ diện những lối tư duy và hệ tư tưởng cản trở tự do sáng tạo và nghệ thuật chân chính. Qua các bài phê bình của Poe, ta cũng nhận diện một Edgar Allan Poe lãng mạn nhưng không hề quay lưng trước hiện thực xã hội, mà luôn tìm cách phản ánh chân thực và biểu hiện thái độ rõ ràng.Mục lụcNền văn học tạp chí của chúng taViệc sáng tác tiểu thuyết MỹLinh tính và Lý trí – Con mèo munThư gửi ông B.Thơ ca Hoa KỳExordium – Lời Mở ĐầuBàn về “Cửa tiệm kì dị cũ kỹ” của Charles DickensBình luận về “Những truyện kể hai lần” của HawthorneMột quan điểm về giấc mơTriết lý sáng tác",https://product.hstatic.net/200000845405/product/2024_08_12_14_26_20_1-390x510_b23f22c4385048afab249b468878aaeb_master.jpg,https://www.vinabook.com/products/linh-tinh-va-ly-tri
Rumi: Nhà Huyền Môn Và Kẻ Say,Oscar Wilde,"152,000₫",Tiếng Việt,2023,Văn Học,460,"Rumi Nhà Huyền Môn Và Kẻ SayJalal-ud-din Rumi (1207-1273) là nhà thần bí đồng thời là nhà thơ vĩ đại nhất của thế giới Islam cổ đại. Ông đóng vai trò quan trọng trong trường phái bí giáo Islam có tên là Sufi – trường phái tâm linh đạt được chứng nghiệm về Thượng Đế và toàn thể thông qua nhảy múa, âm nhạc và thơ ca.Rumi xuất hiện vào cuối Kỷ nguyên vàng Islam, kỷ nguyên của đỉnh cao văn hóa và khoa học tại Trung Đông. Ông thừa hưởng tinh thần tự do của rất nhiều các học giả đi trước đã ca tụng, kết hợp với tính thơ ca thiêng liêng trong kinh Koran. Do đó, các vần thơ của ông vừa đẹp đẽ lại vừa hướng thượng, vừa đắm đuối say mê lại vừa siêu thoát tựa loài phượng hoàng, vừa khoái lạc ở cõi trần tục lại vừa bay bổng ở cõi thiêng.Book Hunter từng xuất bản “The Essential Rumi” với tiêu đề tiếng Việt “Rumi Tinh Tuyệt”, một tuyển tập các bài thơ của Rumi do Coleman Barks dịch sang tiếng Anh, giới thiệu Rumi đến với người đọc Việt Nam. Đến nay, Book Hunter tiếp tục xuất bản một cuốn thơ khác Rumi Nhà Huyền Môn Và Kẻ Say như một hành trình của những trải nghiệm tâm linh với cùng một chủ đề: Chúng ta là một phần của toàn thể và tự mọi thứ trôi chảy theo đó. Trong tập thơ gồm 79 bài này, biểu hiện của Rumi luôn là cảm động trước vẻ đẹp của toàn thể ấy và trạng thái say trong đó ít khi là say rượu, mà sự say mê nói chung.",https://product.hstatic.net/200000845405/product/9786044776064_4f992e4360ab4ab49aca3609c5a6d1a2_master.jpg,https://www.vinabook.com/products/rumi-nha-huyen-mon-va-ke-say
Giấy Dán Tường Vàng,Oscar Wilde,"48,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/giay-dan-tuong-vang_8b028c63095c4c389ae6ec1fd5681fec_master.png,https://www.vinabook.com/products/giay-dan-tuong-vang
Skandar Và Kẻ Trộm Kỳ Lân,Oscar Wilde,"216,000₫",Tiếng Việt,2023,Văn Học,460,"Skandar Và Kẻ Trộm Kỳ LânGiống như biết bao thiếu niên vừa tròn mười ba tuổi của Lục Địa, Skandar khao khát được đến Hải Đảo để tự mình ấp ra một con kỳ lân và được huấn luyện tại p.h.á.o đài Eyrie để trở thành một kỵ sĩ kỳ lân đầy pháp thuật. Cậu không bận tâm rằng kỳ lân là loài sinh vật cao quý nhưng cũng khát máu và thế giới của chúng không chỉ có phép màu mà còn biết bao hiểm nguy và âm mưu. Đúng lúc tưởng như mọi hy vọng đã tan vỡ thì một nhân vật bí ẩn bất ngờ xuất hiện và trao cho cậu cơ hội thực hiện hoài bão.Bước chân vào một thế giới mới, Skandar và các bạn chưa kịp làm quen với những điều kỳ lạ thì đã khám phá ra âm mưu khủng khiếp của Thợ Dệt, kẻ luyện Nguyên Tố Chết. Và có phải sự hiện diện trái luật của Skandar ở Hải Đảo là một phần trong âm mưu ấy? Càng theo dấu những bí ẩn và tham gia sâu vào quá trình liên kết với kỳ lân, Skandar càng ngỡ ngàng trước quá nhiều bí mật xoay quanh thân thế của mình. Cậu có thật sự là cậu bé nhút nhát ở thị trấn Margate hay không? Kỳ lân liệu có giống như trong truyền thuyết mà mọi người hình dung?Những bất ngờ cứ tiếp nối đến tận đoạn cuối trong hành trình đầu tiên của các kỵ sĩ kỳ lân và chúng ta nhận ra tác giả còn để ngỏ nhiều câu hỏi cho độc giả tiên đoán. Thành công của cuốn sách không chỉ là khả năng xây dựng nút thắt câu chuyện mà còn nằm ở những hình ảnh độc đáo đa nghĩa, gợi liên tưởng. “Skandar và Kẻ Trộm Kỳ Lân” đem đến một luồng gió mới cho bạn đọc yêu thích văn chương kỳ ảo. Một thế giới mới được xây dựng với những ý tưởng thú vị ẩn chứa nhiều thông điệp sẽ không chỉ là câu chuyện về những quái thú quyền năng, mà còn là câu chuyện về tình bạn, gia đình, về giáo dục nhân cách cho thanh thiếu niên, về sự hun đúc khát khao tìm ra bản thể của mình.Về tác giảA. F. Steadman có tên đầy đủ là Annabel Steadman, sinh năm 1992, lớn lên ở làng Chillenden thuộc hạt Kent, nước Anh. Năm bốn tuổi, cô mắc tiểu đường loại 1 và phải phẫu thuật thận khi lên chín tuổi.Cô theo học trường King’s School tại Canterbury. Năm 13 tuổi, cô đã mơ ước trở thành nhà văn và có sáng tác đầu tiên viết về những tên cướp biển và gián điệp. Cùng năm đó, bố mẹ cô ly hôn và cô chỉ sống với mẹ. Trước khi đi chọn sự nghiệp sáng tác, cô đã học ngành luật và ngôn ngữ ở Cao đẳng Selwyn, thuộc đại học Cambridge và nhận bằng cử nhân về Viết Sáng Tạo ở Cambridge.Năm 2020, cô ký hợp đồng loạt truyện giả tưởng về “những con kỳ lân khát máu” với công ty xuất bản Simon & Schuster. Cũng trong tuần đó, bản quyền làm phim của cuốn sách được hãng S.o.n.y Pictures mua lại.Năm 2022, “Skandar và Kẻ Trộm Kỳ Lân” được ra mắt, là cuốn đầu tiên trong loạt sách về cậu bé Skandar, được độc giả nồng nhiệt đón nhận. Như dự định của tác giả, thế giới kỳ ảo của nhân vật Skandar và những con kỳ lân sẽ đến với bạn đọc qua năm cuốn sách, cuốn thứ hai của loạt truyện sẽ được ra mắt vào cuối tháng Tư năm 2023 với tựa đề “Skandar và Kỵ Sĩ Bóng Ma”.",https://product.hstatic.net/200000845405/product/9786043314410_882fa9c97f884bcf8ef07f397b2f0af9_master.jpg,https://www.vinabook.com/products/skandar-va-ke-trom-ky-lan
Thiên Địa Phong Trần - Tập 2: Nổi Gió,Oscar Wilde,"168,000₫",Tiếng Việt,2023,Văn Học,460,"Thiên Địa Phong Trần - Tập 2 - Nổi GióNguyễn Gia Thiều, một quý tộc trẻ tuổi sinh ra trong gia đình thế phiệt nổi tiếng, được trải sẵn quan lộ, với thiên bẩm hiếm có trong nghệ thuật kiến trúc, thơ ca, âm nhạc, hội họa, và được các chúa Trịnh dẫu không sủng ái cũng nể trọng… trong quãng đời niên thiếu nhiệt huyết nhất, lại tỏ một vẻ thờ ơ, chán nản trước thời cuộc. Kỳ thực, mọi thiên bẩm nghệ thuật lại không phải là thứ chàng thực sự đeo đuổi, chàng nuôi mộng chấm dứt loạn thế, kiến tạo một thời đại thái bình thịnh trị khắp cõi Đại Việt. Giấc mộng ấy đã cuốn chàng theo chân Nguyễn Khản, người thầy thuở thiếu thời của chàng, vào cuộc tranh quyền đoạt lợi.Bộ sách dự kiến kéo dài 3 tập. Tập thứ 3 đang tiếp tục được hoàn thành, dự kiến ra mắt vào cuối năm 2023.Tập 2: Nổi gióChính biến thành công, giải cứu được Duy Khiêm, trả lại sự trong sạch cho thái tử Lê Duy Vỹ đã quá cố, Nguyễn Gia Thiều được phong chức Ôn Như Hầu, Nguyễn Khản trở thành nhân vật quyền thế bậc nhất trong triều đình, có thể dễ bề thao túng vị chúa Trịnh trẻ tuổi Trịnh Tông, nhưng những biến loạn bỗng chốc trở nên phức tạp hơn. Không hài lòng với thế cục mới, ông vua già Cảnh Hưng, và quốc mẫu (mẹ của Tĩnh Đô vương Trịnh Sâm) tìm mọi cách để loại bỏ sự ảnh hưởng của Nguyễn Gia Thiều trong triều đình. Cùng lúc ấy, các thế lực khác cũng “thừa nước đục thả câu”: nhà Thanh kích động các thế lực trong nước gây loạn, quân Tam Phủ dựa vào thế của quốc mẫu lộng quyền thực hiện các cuộc trả thù và thanh trừng man rợ, quân Tây Sơn ở Đàng Ngoài ngày một lớn mạnh dựa vào tình hình bất ổn tìm cơ hội “đổ thêm dầu vào lửa”… Trước tình cảnh ấy, mọi lẽ được mất đều đặt trên bàn cân, và có những người đã thay lòng đổi dạ, mọi ân oán nghiệp quả không còn có thể lường trước.",https://product.hstatic.net/200000845405/product/2023_05_09_16_34_19_1-390x510_eb221a7698f9435aba423eaa69a97e9a_master.jpg,https://www.vinabook.com/products/thien-dia-phong-tran-t-2-noi-gio
