Title,Author,Price,Language,Publish Year,Publisher,Weight,Description,Image URL,Detail URL
Anh Muốn Thấy Đại Dương Trong Mắt Em,Oscar Wilde,"79,200₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/anh_muon_thay_dai_duong_trong_mat_em_bia_1_da93d6a96f5f4d879be7abcbd25a8729_master.jpg,https://www.vinabook.com/products/anh-muon-thay-dai-duong-trong-mat-em
Ngắn Dần Đều,Oscar Wilde,"200,000₫",Tiếng Việt,2023,Văn Học,460,"Ngắn Dần ĐềuCuốn sách “Ngắn Dần Đều” của tác giả Hoàng Đăng Khoa là một tập hợp các tiểu luận mang tính nghiên cứu và phê bình văn học. Được xuất bản bởi Nhà xuất bản Đà Nẵng, cuốn sách này là sản phẩm hợp tác giữa tác giả và Book Hunter, thể hiện nỗ lực của Hoàng Đăng Khoa trong việc đi sâu vào những vấn đề cốt lõi của văn chương và nghệ thuật.Nội dung của cuốn sách được chia thành nhiều chương, mỗi chương đều tập trung vào một khía cạnh khác nhau của văn học, từ nghệ thuật sáng tạo đến các vấn đề liên quan đến phê bình và tiếp nhận văn học. Chẳng hạn, các chương như “Nghệ thuật của cái nhìn”, “Người viết trẻ có đáng bị bắt bẻ?”, và “Thơ là hơi thở” khám phá những góc nhìn sâu sắc về cách thức nhìn nhận và thể hiện trong văn học, cũng như vai trò và trách nhiệm của nhà văn trong xã hội hiện đại.Tác giả Hoàng Đăng Khoa không chỉ phê bình mà còn dẫn dắt người đọc qua những cuộc đối thoại với các triết gia, nhà văn nổi tiếng trên thế giới, từ Lão Tử, Nietzsche đến Murakami, Pamuk, và nhiều người khác. Qua đó, ông giúp người đọc hiểu rõ hơn về những triết lý và tư duy đứng sau mỗi tác phẩm văn học.Với giọng văn thuyết phục và những lập luận chắc chắn, “Ngắn Dần Đều” không chỉ là một tác phẩm phê bình văn học mà còn là một công trình nghiên cứu sâu rộng về văn hóa và nghệ thuật, hướng đến việc nâng cao nhận thức và sự hiểu biết về văn học đương đại của người đọc.",https://product.hstatic.net/200000845405/product/9786048480660_22f5617b10c1479098414b955fb23b47_master.jpg,https://www.vinabook.com/products/ngan-dan-deu
Những Đứa Con Của Rồng,Oscar Wilde,"88,000₫",Tiếng Việt,2023,Văn Học,460,"Những Đứa Con Của Rồng“Những Đứa Con Của Rồng”là một tập du ký đặc sắc của Hữu Vi, ghi lại những trải nghiệm thực tế và sâu sắc của tác giả về cuộc sống và văn hóa của các dân tộc thiểu số ở vùng núi Nghệ An, đặc biệt là người Thái, Khơ Mú, và Mông. Qua những trang viết chân thực và đầy cảm xúc, Hữu Vi đưa người đọc vào một hành trình khám phá những nét đẹp văn hóa và những câu chuyện huyền thoại của các dân tộc này.Cuốn sách bao gồm nhiều câu chuyện và ký sự về những nghi lễ, phong tục tập quán, và cuộc sống thường ngày của người dân. Từ lễ cúng rẫy, lễ tế trâu, đến những truyền thuyết về rồng và các vị anh hùng, Hữu Vi đã khéo léo tái hiện lại một cách sống động và chi tiết. Những câu chuyện như “Lấy vợ là lên chức ‘bố'”, “Ma nhà ở trong bếp”, “Lễ tế trâu”, và “Chuẩn bị làm lễ cúng rẫy” không chỉ là những ghi chép thực tế mà còn là những bức tranh văn hóa đầy màu sắc và cảm xúc.Hữu Vi cũng không quên đưa vào những câu chuyện mang đậm tính huyền thoại và truyền thuyết, như “Những đứa con của rồng”, “Hình hài của rồng”, và “Huyền tích rồng sông Lam”. Những câu chuyện này giúp người đọc cảm nhận sâu sắc hơn về sự đa dạng và phong phú của văn hóa các dân tộc thiểu số, đồng thời hiểu thêm về những giá trị tinh thần và tín ngưỡng mà họ gìn giữ.“Những Đứa Con Của Rồng” là một tác phẩm không chỉ giúp bảo tồn và phát huy những giá trị văn hóa của các dân tộc thiểu số ở Nghệ An, mà còn mở ra cho người đọc một cánh cửa đến với những thế giới văn hóa đa dạng và phong phú, nơi mà thiên nhiên và con người hòa quyện tạo nên những câu chuyện đẹp và đầy ý nghĩa.",https://product.hstatic.net/200000845405/product/9786044916323_90c867166b764f8db4671a823ac4d431_master.jpg,https://www.vinabook.com/products/nhung-dua-con-cua-rong
Triền Non Xanh Dắt Tôi Đi Mãi,Oscar Wilde,"48,000₫",Tiếng Việt,2023,Văn Học,460,"Triền Non Xanh Dắt Tôi Đi Mãi - Tập Thơ“Triền Non Xanh Dắt Tôi Đi Mãi” là một tập thơ của Hữu Vi, mang đến cho độc giả một hành trình đầy thơ mộng và lãng mạn qua những dải núi xanh mướt và những cảnh đẹp thiên nhiên hoang sơ. Cuốn sách bao gồm nhiều bài thơ với nhiều chủ đề khác nhau, từ tình yêu, nỗi nhớ, đến những suy tư về cuộc sống và con người.Mỗi bài thơ là một bức tranh tuyệt đẹp, được vẽ bằng ngôn từ tinh tế và giàu cảm xúc, đưa người đọc lạc vào thế giới của những cảm xúc chân thật và sâu lắng. Những hình ảnh thiên nhiên trong thơ Hữu Vi không chỉ là bối cảnh, mà còn là những nhân vật sống động, mang đến cho người đọc cảm giác như đang sống và thở cùng với từng câu chữ.Tập thơ không chỉ là một tác phẩm văn học, mà còn là một bản nhạc du dương của tâm hồn, khơi gợi trong lòng người đọc những cảm xúc dịu dàng và sâu lắng về thiên nhiên và cuộc sống.",https://product.hstatic.net/200000845405/product/9786044916330_39f19b6633b34ee49290e9d8c211f001_master.jpg,https://www.vinabook.com/products/trien-non-xanh-dat-toi-di-mai
Hồi Âm Từ Phương Nam,Oscar Wilde,"152,000₫",Tiếng Việt,2023,Văn Học,460,"Hồi Âm Từ Phương NamTuyển tập các tiểu luận phê bình văn học & nghệ thuật của nhà phê bình, giáo sư Huỳnh Như Phương.Mục lụcNơi cư trú của tình yêuThơ ca – nơi cư trú của tình yêuXuân Tâm – người mơ tưởng trong chiềuNguyễn Vỹ – cảm quan xã hội và thể nghiệm nghệ thuậtBài tưởng niệm Ngô KhaDiễm Châu – dịch giả và nhà thơTường Linh – một đời thơ gửi lạiThơ Đông Trình – men của một thờiÝ Nhi và những bến bờ của sáng tạoThơ buổi giao mùaTiếng gọi của đồng bằngNgười đã xa xămThơ giữa hôm qua và hôm sau“Hòa âm điền dã” trong thơChút hương ngày cũTiếng thơ nữ ở một trường đại họcĐặng Tiến và thế giới của thơGiữ Thơm Quê Mẹ – mỗi số báo là một đêm rằmTrong người có taThiền sư Thích Nhất Hạnh – biểu tượng của đối thoại và hòa giảiNguyễn Văn Trung – người ưu tư với văn hóa dân tộcVõ Hồng – phẩm hạnh của văn chươngNguyên Ngọc còn mãi trên đườngHoàng Ngọc Biên – quê hương, người vềGóp lời cho Im lặngSắc màu của chân dungLê Văn Nghĩa trong cõi nhớ Sài GònTừ Nguyên Thạch và Hai bên chiến tuyếnNhững đám mây phủ bóng phận ngườiHồi âm từ phương NamTuổi thơ ai như tuổi thơ mìnhHai cuộc thi, hai tập truyện ngắnVăn chương phương Nam thêm những khám phá mớiNguyễn Thị Minh Thái và phê bình nghệ thuậtVài suy nghĩ về Viện Văn HọcGóp bàn câu chuyện học vănHiện đại hóa – nguồn cảm hứng của văn học",https://product.hstatic.net/200000845405/product/9786048474683_e9f801a34135487fa39bfba97458c31a_master.jpg,https://www.vinabook.com/products/hoi-am-tu-phuong-nam
Đi Săn Mùa Thu,Oscar Wilde,"68,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/di-san-mua-thu-1_8a097162fb954e6597eb539151ba4bbd_master.png,https://www.vinabook.com/products/di-san-mua-thu
Mùa Dã Cổ,Oscar Wilde,"68,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/mua-da-co_f437080e3ee74c4b8285ed7f73b5833f_master.png,https://www.vinabook.com/products/mua-da-co
Nằm Xem Sao Rụng,Oscar Wilde,"200,000₫",Tiếng Việt,2023,Văn Học,460,null,https://product.hstatic.net/200000845405/product/nam-xem-sao-rung-1_0021ae3acb924f0fa45fb804decaf4b5_master.png,https://www.vinabook.com/products/nam-xem-sao-rung
Gallery Và Bóng,Oscar Wilde,"92,000₫",Tiếng Việt,2023,Văn Học,460,"Gallery Và BóngNổi tiếng trong làng văn học Việt Nam với những bộ tiểu thuyết dài kỳ đồ sộ và những tập thơ chiêm nghiệm sâu sắc, GALLERY VÀ BÓNG là tập truyện ngắn đầu tiên mà nhà văn Hà Thủy Nguyên ra mắt với độc giả với một phong cách hoàn toàn khác lạ. Tác phẩm xuất bản mới nhất này của chị là một tập hợp các truyện ngắn được chị viết rải rác từ năm 2005 đến nay, được minh họa bởi bàn tay của họa sĩ Đoàn Ngọc Vững.Lấy cảm hứng từ chính cuộc sống phố thị hiện đại phức tạp và mâu thuẫn, những câu chuyện trong GALLERY VÀ BÓNG mang màu sắc ma mị, triết học, thể hiện chủ nghĩa hoài nghi và chủ nghĩa hư vô qua việc sử dụng các thủ pháp siêu hình, đậm phong cách cổ tích pha trộn với truyện ma đô thị. Với GALLERY VÀ BÓNG, nhà văn Hà Thủy Nguyên đem đến một chân dung hoàn toàn khác so với lối viết duy mĩ trong các tác phẩm văn xuôi như Cầm Thư Quán và Thiên Địa Phong Trần.",https://product.hstatic.net/200000845405/product/9786043916645_d0564ba8f2e04cfc88cdc41582baad52_master.jpg,https://www.vinabook.com/products/gallery-va-bong
Thiên Địa Phong Trần - Tập 1: Khúc Cung Oán,Oscar Wilde,"192,000₫",Tiếng Việt,2023,Văn Học,460,"Tôi Biết ƠnNguyễn Gia Thiều, một quý tộc trẻ tuổi sinh ra trong gia đình thế phiệt nổi tiếng, được trải sẵn quan lộ, với thiên bẩm hiếm có trong nghệ thuật kiến trúc, thơ ca, âm nhạc, hội họa, và được các chúa Trịnh dẫu không sủng ái cũng nể trọng… trong quãng đời niên thiếu nhiệt huyết nhất, lại tỏ một vẻ thờ ơ, chán nản trước thời cuộc. Kỳ thực, mọi thiên bẩm nghệ thuật lại không phải là thứ chàng thực sự đeo đuổi, chàng nuôi mộng chấm dứt loạn thế, kiến tạo một thời đại thái bình thịnh trị khắp cõi Đại Việt. Giấc mộng ấy đã cuốn chàng theo chân Nguyễn Khản, người thầy thuở thiếu thời của chàng, vào cuộc tranh quyền đoạt lợi.Bộ sách dự kiến kéo dài 3 tập. Tập thứ 3 đang tiếp tục được hoàn thành, dự kiến ra mắt vào cuối năm 2023.Tập 1: Khúc Cung OánSau nhiều năm bình lặng, Nguyễn Gia Thiều quyết định theo chân Nguyễn Khản – vị đại thần đệ nhất, được mệnh danh là phong lưu đại thần – dấn bước vào cuộc tranh chấp quyền lực. Hai thầy trò chọn phò tá thái tử Lê Duy Vỹ, vị hoàng tử sáng giá nhất trong số những người con của vị vua già Cảnh Hưng (Tức Lê Hiển Tông). Lê Duy Vỹ, Nguyễn Khản, Nguyễn Gia Thiều cùng chung với nhau giấc mộng chấm dứt loạn thế, kiến tạo một thời đại thái bình thịnh trị, nhưng Thiều sớm nhận ra những bất ổn trong cuộc tranh chấp của thái tử. Chưa kịp can ngăn, Duy Vỹ đã rơi vào bẫy của Tĩnh Đô vương Trịnh Sâm – quyền thần quyền lực nhất trong triều đình có thể thao túng được hoàng đế và bá quan, và bị bức tử trong tù. Quyết tâm giải oan cho Lê Duy Vỹ và nhận lời bảo vệ người thân của thái tử, Nguyễn Gia Thiều đã dấn sâu hơn vào triều đình, vận toàn bộ tài kinh bang tế thế, thiên bẩm nghệ thuật và sở đắc về thời mệnh với hi vọng xoay chuyển càn khôn . Cùng với Nguyễn Khản và các trí thức trẻ như Ngô Thì Chí, Nguyễn Du… Ôn Như Hầu Nguyễn Gia Thiều thực hiện một cuộc chính biến lớn để giải cứu Lê Duy Khiêm – con trai cả của Lê Duy Vỹ đã quá cố ra khỏi nhà tù, mở ra một thế cục chính trị mới.",https://product.hstatic.net/200000845405/product/2023_05_09_16_33_37_1-390x510_cd42243800454224a99834a5bcb797a1_master.jpg,https://www.vinabook.com/products/thien-dia-phong-tran-t-1-khuc-cung-oan
